mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used
3,2017-01-22 10:10:46,2017-01-22 10:20:46,10.73,-2.14,1.76,3.29,19.48,-23.52,2.56,va_cs
3,2017-01-22 10:10:46,2017-01-22 10:20:46,10.73,-2.14,1.76,3.29,19.48,-23.52,1.13,bisection
3,2017-01-22 10:42:33,2017-01-22 10:52:33,10.51,-1.79,1.83,-1.16,-2.12,51.53,2.31,shear
3,2017-01-22 10:42:33,2017-01-22 10:52:33,10.51,-1.79,1.83,-1.16,-2.12,51.53,0.14,rx_en
3,2017-01-22 10:42:33,2017-01-22 10:52:33,10.51,-1.79,1.83,-1.16,-2.12,51.53,1.71,va_cs
3,2017-01-22 10:42:33,2017-01-22 10:52:33,10.51,-1.79,1.83,-1.16,-2.12,51.53,1.31,bisection
3,2017-01-27 12:00:43,2017-01-27 12:10:43,9.26,-1.37,1.96,-3.53,-4.6,66.81,2.15,shear
3,2017-01-27 12:00:43,2017-01-27 12:10:43,9.26,-1.37,1.96,-3.53,-4.6,66.81,2.83,rx_en
3,2017-01-27 12:00:43,2017-01-27 12:10:43,9.26,-1.37,1.96,-3.53,-4.6,66.81,0.31,va_cs
3,2017-01-27 12:00:43,2017-01-27 12:10:43,9.26,-1.37,1.96,-3.53,-4.6,66.81,0.31,bisection
3,2015-09-25 12:05:00,2015-09-25 12:13:00,6.56,8.03,-5.49,-1.64,12.23,9.29,8.13,shear
3,2015-09-25 12:05:00,2015-09-25 12:13:00,6.56,8.03,-5.49,-1.64,12.23,9.29,9.16,rx_en
3,2015-09-25 12:05:00,2015-09-25 12:13:00,6.56,8.03,-5.49,-1.64,12.23,9.29,8.85,va_cs
3,2015-09-25 12:05:00,2015-09-25 12:13:00,6.56,8.03,-5.49,-1.64,12.23,9.29,7.69,bisection
