Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-09 08:40:24.092000+00:00,3,False,False,True,5.291,5.953,-3.311,6.812,1.745,66.653,2015-09-09 08:41:31.675780864+00:00,754,787,1675,1741,10.896,17.836,-36.539,25.236,17.483,-36.393,23.23,25.073,-36.382,18.305,25.073,-36.382,18.305,2.003,2.06,9.001,9.499,-44.027,-74.743,-287.751,-40.879,-76.811,-300.872,32.541,-60.745,-40.047,33.814,-64.284,-19.8,3920600.5,1243711.75,3880500.75,1282870.0,4126252.25,1137649.625,4162999.25,1151411.875,0.181,0.124,
2015-09-09 08:41:54.093000+00:00,3,False,False,True,5.292,5.977,-3.332,6.844,0.877,96.776,2015-09-09 08:41:31.675780864+00:00,754,787,1907,1973,20.349,17.836,-36.539,25.236,17.483,-36.393,23.23,12.238,-45.72,10.179,12.238,-45.72,10.179,2.003,2.06,11.964,13.005,-44.027,-74.743,-287.751,-40.879,-76.811,-300.872,-24.472,9.811,67.075,-26.186,10.551,71.047,3920600.5,1188414.75,3880500.75,1184222.0,4126252.25,943255.875,4162999.25,938549.75,0.247,0.124,
2015-09-09 08:43:24.094000+00:00,3,False,False,True,5.292,6.001,-3.354,6.875,0.877,96.776,2015-09-09 08:41:31.675780864+00:00,754,787,1907,1973,20.349,17.836,-36.539,25.236,17.483,-36.393,23.23,12.238,-45.72,10.179,12.238,-45.72,10.179,2.003,2.06,11.964,13.005,-44.027,-74.743,-287.751,-40.879,-76.811,-300.872,-24.472,9.811,67.075,-26.186,10.551,71.047,3920600.5,1188414.75,3880500.75,1184222.0,4126252.25,943255.875,4162999.25,938549.75,0.247,0.124,
2015-09-09 08:45:04.146000+00:00,3,False,False,True,5.292,6.025,-3.375,6.906,0.877,96.776,2015-09-09 08:41:31.675780864+00:00,754,787,1907,1973,20.349,17.836,-36.539,25.236,17.483,-36.393,23.23,12.238,-45.72,10.179,12.238,-45.72,10.179,2.003,2.06,11.964,13.005,-44.027,-74.743,-287.751,-40.879,-76.811,-300.872,-24.472,9.811,67.075,-26.186,10.551,71.047,3920600.5,1188414.75,3880500.75,1184222.0,4126252.25,943255.875,4162999.25,938549.75,0.247,0.124,
2015-09-09 13:17:44.112000+00:00,3,True,True,True,4.193,9.172,-5.603,10.748,1.898,151.047,2015-09-09 13:20:19.187105920+00:00,1086,1119,228,294,172.132,11.324,-5.641,27.256,11.581,-5.42,27.637,-15.567,8.315,-27.635,-15.567,8.315,-27.635,1.029,1.042,11.568,11.324,24.078,-15.018,-85.316,23.588,-19.3,-84.709,-7.618,-138.513,-102.103,-9.764,-140.868,-96.275,6692397.5,807341.375,6740883.5,825196.5,6860692.0,623783.9375,6877816.0,638361.0,0.327,0.272,
2015-09-09 13:51:34.089000+00:00,3,True,True,True,3.951,9.467,-5.621,11.01,4.441,96.488,2015-09-09 13:52:06.075082496+00:00,537,570,1725,1791,172.507,9.127,-10.678,18.128,9.146,-10.455,18.178,-5.567,4.146,-8.794,-5.567,4.146,-8.794,0.709,0.711,10.959,12.033,56.48,25.965,-40.826,62.662,24.146,-41.856,-20.684,-183.598,-71.906,-27.407,-185.319,-74.766,5402162.0,651837.3125,5434783.0,582859.125,7338542.0,662315.25,7369204.5,547441.0,1.642,0.285,
2015-09-09 13:52:54.191000+00:00,3,True,True,True,3.94,9.479,-5.62,11.02,6.39,56.256,2015-09-09 13:52:06.075082496+00:00,537,570,1793,1859,152.287,9.127,-10.678,18.128,9.146,-10.455,18.178,-17.467,9.684,-11.1,-17.467,9.684,-11.1,0.709,0.711,12.722,13.479,56.48,25.965,-40.826,62.662,24.146,-41.856,-22.885,-235.548,-88.551,-25.771,-236.587,-86.338,5402162.0,551288.75,5434783.0,555123.125,7338542.0,439810.8125,7369204.5,474212.0625,0.628,0.285,
2015-09-09 14:09:44.154000+00:00,3,False,True,True,3.817,9.615,-5.606,11.13,2.525,119.737,2015-09-09 14:08:56.481978496+00:00,2031,2064,2474,2540,53.246,12.205,-12.991,26.472,12.188,-13.364,26.619,14.198,19.632,32.934,14.198,19.632,32.934,0.633,0.632,7.023,7.628,68.266,72.029,57.74,73.713,67.279,53.453,-98.458,-134.351,-202.21,-95.467,-138.795,-214.32,6470939.5,624732.375,6360964.0,614400.9375,6955474.0,781458.875,6986083.0,788524.875,0.112,0.142,
2015-09-09 14:00:14.147000+00:00,3,True,True,True,3.888,9.538,-5.616,11.068,1.766,155.346,2015-09-09 14:01:31.578941952+00:00,2231,2264,965,1031,133.855,16.816,-10.46,33.763,17.128,-11.169,33.827,5.093,9.269,-13.232,5.093,9.269,-13.232,0.863,0.878,13.472,13.492,-0.479,-112.843,-114.527,0.893,-112.673,-105.454,-118.385,-171.752,-208.616,-121.067,-169.761,-210.977,3634832.75,491000.40625,3639611.75,499649.0,4255212.5,425179.25,4092966.25,431535.125,0.949,0.075,
2015-09-09 14:16:04.109000+00:00,3,True,True,True,3.767,9.668,-5.598,11.171,1.557,140.119,2015-09-09 14:11:48.983157504+00:00,1189,1222,516,582,152.068,12.846,-11.145,15.208,12.941,-11.687,15.204,-10.705,7.857,-34.319,-10.705,7.857,-34.319,1.158,1.142,16.615,16.627,49.988,108.904,-35.221,48.509,112.997,-31.825,-15.205,-206.524,-57.491,-16.161,-208.196,-57.016,4619450.5,206540.15625,4655646.0,206783.390625,4877954.0,256257.40625,4926990.0,257556.296875,0.097,0.361,
