DateStart,Error
2015-12-06 00:32:04+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-06 23:41:54+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 01:25:03+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 01:26:15+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 01:28:17+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 02:13:39+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 02:15:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 02:43:42+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 02:45:26+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 03:13:02+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 03:47:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 03:51:54+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 03:53:47+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 03:56:51+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 04:04:03+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 04:06:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 23:30:57+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 23:57:49+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-07 23:59:28+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-08 02:22:02+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-08 02:52:25+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-08 06:05:01+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-08 06:06:04+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-09 01:04:02+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-09 01:08:10+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-09 10:43:07+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-09 10:48:04+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-09 11:10:43+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-09 11:12:22+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 01:15:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 10:19:22+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 10:28:18+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 11:29:30+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 11:43:36+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 12:48:01+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-10 23:09:32+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 08:42:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 08:43:13+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 11:15:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 11:42:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 11:45:28+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 12:06:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 12:33:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 12:35:07+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-11 12:43:40+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 04:22:21+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 04:39:18+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 04:43:07+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 04:46:48+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 04:54:27+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 05:14:19+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 05:23:01+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-12 06:47:28+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-13 01:54:11+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-13 02:00:11+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 01:19:56+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 01:26:55+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 01:33:44+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 01:35:59+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 01:51:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 04:03:08+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 05:13:38+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-14 06:02:05+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-15 10:55:34+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-17 02:22:29+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-18 08:03:50+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-25 03:25:17+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-28 09:56:10+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-28 09:58:39+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-28 22:20:13+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-28 22:21:16+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-29 07:30:06+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 00:26:51+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 00:30:45+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 00:32:55+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 22:37:27+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 22:55:09+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 23:09:01+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 23:10:13+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 23:37:22+00:00,index 0 is out of bounds for axis 0 with size 0
2015-12-30 23:41:39+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-01 22:04:47+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-02 23:46:43+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-02 23:48:54+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-03 22:25:54+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-04 08:41:49+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-05 00:46:35+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-05 00:48:14+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-06 02:28:45+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-06 02:30:06+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-06 02:31:23+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-06 22:25:55+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-06 22:29:09+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-07 21:43:05+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-07 22:10:41+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-08 00:28:50+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-08 22:13:09+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-09 21:18:39+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-09 21:34:06+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-09 21:38:09+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-10 20:52:22+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-10 20:54:14+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-13 21:51:10+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-17 05:19:02+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-17 05:53:00+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-17 05:58:56+00:00,index 0 is out of bounds for axis 0 with size 0
2016-01-17 06:33:39+00:00,index 0 is out of bounds for axis 0 with size 0
