EventId,DateStart,Wsli_tot,Wcci_tot
20150909_154634,2015-09-09 15:46:34.184,-0.145224,-0.556931
20150909_155034,2015-09-09 15:50:34.187,-0.458081,-0.86329
20150909_155154,2015-09-09 15:51:54.138,-0.0215608,-0.0537698
20150909_160944,2015-09-09 16:09:44.103,-0.407696,-0.890167
20150909_161204,2015-09-09 16:12:04.205,-0.313414,-0.72813
20150909_183914,2015-09-09 18:39:14.075,-0.0774864,-0.423754
20150909_184954,2015-09-09 18:49:54.133,-0.118156,-0.747724
20150909_185404,2015-09-09 18:54:04.187,-0.12817,-0.443865
20150909_190004,2015-09-09 19:00:04.192,-0.237093,-0.68087
20150909_191344,2015-09-09 19:13:44.103,-0.147753,-0.79024
20150909_193414,2015-09-09 19:34:14.120,0.493999,0.908476
20150909_194824,2015-09-09 19:48:24.181,-0.0958113,-0.650554
20150909_194954,2015-09-09 19:49:54.182,-0.48347,-0.805631
20150909_201524,2015-09-09 20:15:24.203,-0.0326584,-0.8243
20150909_202604,2015-09-09 20:26:04.112,-0.665157,-0.944432
20150910_122654,2015-09-10 12:26:54.211,-0.109148,-0.57383
20150910_123154,2015-09-10 12:31:54.215,-0.0425305,-0.204645
20150910_124234,2015-09-10 12:42:34.123,0.263764,0.873852
20150910_182324,2015-09-10 18:23:24.194,0.076207,0.411672
20150910_190614,2015-09-10 19:06:14.179,0.243465,0.596559
20150910_191214,2015-09-10 19:12:14.183,-0.0196123,-0.0574849
20150910_193814,2015-09-10 19:38:14.205,-0.41974,-0.775796
20150910_194254,2015-09-10 19:42:54.109,-0.604564,-0.892116
20150910_195714,2015-09-10 19:57:14.220,-0.223975,-0.731715
20150910_200644,2015-09-10 20:06:44.078,-0.220488,-0.423302
20150910_200824,2015-09-10 20:08:24.130,-0.118604,-0.372195
20150910_201034,2015-09-10 20:10:34.182,-0.456731,-0.763106
20150910_203054,2015-09-10 20:30:54.148,-0.315947,-0.757975
20150910_203344,2015-09-10 20:33:44.101,-0.408834,-0.783228
20150910_205434,2015-09-10 20:54:34.218,-0.307947,-0.747643
20150910_210244,2015-09-10 21:02:44.125,-0.4612,-0.782255
20150911_074854,2015-09-11 07:48:54.182,0.0285758,0.0966189
20150911_075314,2015-09-11 07:53:14.136,0.0435719,0.103537
20150911_075744,2015-09-11 07:57:44.139,-0.356272,-0.853495
20150911_080644,2015-09-11 08:06:44.146,0.067881,0.189924
20150911_081104,2015-09-11 08:11:04.099,-0.276701,-0.790236
20150911_081534,2015-09-11 08:15:34.103,-0.137788,-0.340878
20150911_082104,2015-09-11 08:21:04.107,-0.494325,-0.685178
20150911_092954,2015-09-11 09:29:54.110,0.377223,0.836226
20150911_094154,2015-09-11 09:41:54.119,-0.277725,-0.625856
20150911_094524,2015-09-11 09:45:24.122,0.030876,0.124088
20150911_100524,2015-09-11 10:05:24.138,0.159134,0.453329
