DateStart,Error
2015-09-08 10:34:34.148000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:40:24.103000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:38:24.101000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:42:24.105000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:44:24.106000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:46:24.108000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:02:04.170000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:58:04.167000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:48:14.209000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:50:14.211000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:52:14.212000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:00:04.168000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:54:14.214000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:07:54.124000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:04:04.171000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:13:54.129000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 10:56:14.215000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:11:54.127000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:05:54.123000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:09:54.126000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:15:44.080000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 17:35:44.080000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 13:40:34.144000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:52:54.159000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 16:07:04.109000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 17:19:24.117000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 17:41:44.084000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:17:44.082000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:19:44.084000+00:00,local variable 'ind_range_msp' referenced before assignment
