DateStart,Error
2015-09-08 11:17:44.082000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:15:44.080000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:23:34.187000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:21:44.085000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 11:25:34.188000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 17:02:04.153000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 16:42:04.137000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 17:35:44.080000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 17:41:44.084000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-08 14:53:04.201000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 08:28:14.183000+00:00,local variable 'ind_range_msh' referenced before assignment
2015-09-09 09:01:04.158000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 08:55:24.104000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-09 12:58:14.096000+00:00,attempt to get argmin of an empty sequence
2015-09-09 13:42:44.132000+00:00,v cannot be empty
2015-09-08 18:15:04.211000+00:00,attempt to get argmin of an empty sequence
