Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-09 14:08:24.203000+00:00,3,False,False,True,3.824,9.607,-5.607,11.124,5.673,56.287,2015-09-09 14:09:10.657073920+00:00,4167,4199,1975,2007,3908,177.235,12.17,-13.412,26.217,12.188,-13.821,26.544,-11.07,14.754,-25.69,-11.07,14.754,-25.69,0.628,0.62,18.336,18.353,80.628,70.295,55.576,85.747,67.279,53.453,-3.551,-101.785,-25.865,-3.523,-101.735,-26.26,65139244.0,1659905.625,64883828.0,1662377.0,70068304.0,2349354.25,70406128.0,2374340.75,1.206,1.414,
2015-09-09 14:09:44.154000+00:00,3,False,False,True,3.817,9.615,-5.606,11.13,5.673,56.287,2015-09-09 14:09:10.657073920+00:00,3634,3666,1442,1474,3375,177.235,12.17,-13.412,26.217,12.188,-13.821,26.544,-11.07,14.754,-25.69,-11.07,14.754,-25.69,0.628,0.62,18.336,18.353,80.628,70.295,55.576,85.747,67.279,53.453,-3.551,-101.785,-25.865,-3.523,-101.735,-26.26,65139244.0,1659905.625,64883828.0,1662377.0,70068304.0,2349354.25,70406128.0,2374340.75,1.206,1.414,
2015-09-09 14:11:14.156000+00:00,3,False,False,True,3.805,9.627,-5.604,11.14,5.673,56.287,2015-09-09 14:09:10.657073920+00:00,3034,3066,842,874,2775,177.235,12.17,-13.412,26.217,12.188,-13.821,26.544,-11.07,14.754,-25.69,-11.07,14.754,-25.69,0.628,0.62,18.336,18.353,80.628,70.295,55.576,85.747,67.279,53.453,-3.551,-101.785,-25.865,-3.523,-101.735,-26.26,65139244.0,1659905.625,64883828.0,1662377.0,70068304.0,2349354.25,70406128.0,2374340.75,1.206,1.414,
2015-09-09 14:16:04.109000+00:00,3,False,False,True,3.767,9.667,-5.597,11.171,3.939,62.719,2015-09-09 14:09:10.657073920+00:00,3326,3358,2560,2592,1243,159.009,13.942,-12.984,20.745,13.958,-12.73,21.294,-10.309,7.962,-34.446,-10.309,7.962,-34.446,1.078,0.995,16.429,16.405,-84.104,37.035,-30.371,-89.379,51.605,-53.254,-21.651,-197.943,-50.325,-22.192,-203.953,-50.494,47885004.0,2040192.25,50375676.0,2046040.75,46476280.0,2617200.75,54195392.0,2611992.5,0.943,2.248,
2015-09-09 18:49:54.133000+00:00,3,False,False,True,1.298,10.718,-4.019,11.446,0.6,36.354,2015-09-09 18:55:19.932299648+00:00,1470,1502,349,381,3436,49.516,20.245,-25.798,9.29,20.319,-25.439,9.249,-0.668,-5.301,-0.386,-0.668,-5.301,-0.386,3.638,3.635,11.544,11.498,-62.288,14.398,-6.713,-62.06,15.189,-7.548,30.545,-215.384,56.269,30.474,-211.306,58.498,10123189.0,7052733.0,10099832.0,7095156.0,11723999.0,7014464.5,11617243.0,6991771.5,121.504,1.152,
2015-09-09 18:54:04.187000+00:00,3,False,False,True,1.258,10.71,-3.99,11.429,1.284,56.12,2015-09-09 18:55:19.932299648+00:00,224,256,2256,2288,2172,38.69,19.099,-26.113,8.262,19.823,-26.198,8.251,12.757,-5.15,-2.303,12.757,-5.15,-2.303,3.777,3.813,12.436,12.471,-69.323,4.341,-3.843,-70.471,4.021,-2.862,-63.108,73.845,10.609,-63.685,73.699,10.485,9824101.0,6256282.0,9772936.0,6225882.5,11367546.0,6883930.0,11367604.0,6888479.5,13.456,1.223,
2015-09-09 19:00:04.192000+00:00,3,False,False,True,1.198,10.697,-3.947,11.402,1.284,56.12,2015-09-09 18:55:19.932299648+00:00,190,222,2188,2220,2104,40.799,18.492,-27.447,8.629,18.87,-27.782,8.172,12.757,-5.15,-2.303,12.757,-5.15,-2.303,2.189,2.746,12.436,12.471,-65.985,-48.413,-7.559,-68.93,-57.405,-9.212,-63.108,73.845,10.609,-63.685,73.699,10.485,14524725.0,6256282.0,13565678.0,6225882.5,18022184.0,6883930.0,16742276.0,6888479.5,13.456,1.191,
2015-09-11 09:45:24.122000+00:00,3,False,False,True,5.448,6.922,-4.245,8.12,3.699,36.676,2015-09-11 09:47:01.733442048+00:00,2100,2132,1190,1222,2051,150.412,10.453,-36.27,61.558,10.286,-37.059,61.869,-18.614,1.741,-76.139,-18.614,1.741,-76.139,1.149,1.091,22.635,22.803,35.05,-187.589,-30.867,35.319,-186.756,-32.27,-29.221,-249.755,-115.255,-30.191,-246.817,-115.562,60619044.0,2121553.0,60390660.0,2124282.25,72569680.0,4446761.0,72669112.0,4461217.5,0.373,0.468,
2015-09-11 08:21:04.107000+00:00,3,False,False,True,5.499,5.711,-3.137,6.516,2.247,39.697,2015-09-11 08:12:18.946307968+00:00,422,454,3485,3517,498,132.559,24.471,-35.483,51.132,24.151,-35.851,51.231,-5.662,-10.901,-53.759,-5.662,-10.901,-53.759,1.538,1.617,16.401,16.566,26.916,-180.667,-116.22,22.138,-185.786,-117.165,-7.24,-217.076,-168.16,-2.93,-222.076,-165.0,52331220.0,6748918.5,53843032.0,7041634.0,62141388.0,6776513.5,59972360.0,6646776.0,1.292,0.701,
2015-09-11 11:42:44.166000+00:00,3,False,False,True,5.011,8.23,-5.29,9.784,1.436,44.426,2015-09-11 11:52:10.559299456+00:00,2774,2806,403,435,3844,53.843,9.524,-16.018,54.235,9.643,-18.103,53.725,11.218,-29.964,8.856,11.218,-29.964,8.856,1.503,1.68,16.513,16.399,23.426,-216.53,-114.103,28.221,-242.07,-121.999,2.321,-279.016,-228.096,3.96,-273.179,-226.548,22931680.0,10868490.0,22373946.0,10909215.0,40028764.0,10312134.0,37815268.0,10349007.0,5.255,0.488,
