time, x, y, z, r_yz, index
2015-12-02 09:59:44.222,11.252036086801905,1.2222079074747103,-1.4585852655045828,1.902961677449334,2244
2015-12-02 10:05:34.177,11.206005847589294,1.2699443952724054,-1.474658644487852,1.946118414908647,2245
2015-12-02 10:10:44.082,11.166495139343054,1.309729615470415,-1.4878094972482676,1.9821626486598984,2246
2015-12-02 10:20:54.141,11.080087816673434,1.3932849490985295,-1.514647718349937,2.0580089067074425,2247
2015-12-02 10:38:34.207,10.925608911391416,1.532515498536075,-1.5567705379681636,2.1845224331965465,2248
2015-12-02 10:48:24.166,10.831374045158888,1.6120207933105988,-1.5792093820043747,2.2566597683914096,2249
2015-12-02 11:25:04.100,10.449603001981478,1.9012974210101583,-1.64934970562733,2.5169994705189827,2250
2015-12-02 11:26:24.201,10.43261528647985,1.9131359044496565,-1.6517959135487947,2.5275519240780993,2251
2015-12-03 00:04:23.940,8.722551752040564,-3.3891617302911325,-0.6258939766275571,3.446470731639635,2252
2015-12-03 02:35:24.222,10.761986159797441,-2.397928059392057,-0.6443725218724268,2.4829971657180736,2253
2015-12-03 02:44:04.130,10.84462621482598,-2.3353709386194086,-0.6434660479976011,2.422396742045726,2254
2015-12-03 03:22:34.164,11.180016068523473,-2.046376403260946,-0.6430740758175726,2.145040943854413,2255
2015-12-03 03:31:24.122,11.249411109043265,-1.9776561359871005,-0.6442391046157159,2.079944185819295,2256
2015-12-03 03:32:04.173,11.253167926156703,-1.9738269680808058,-0.6443211734856189,2.0763291344401424,2257
2015-12-03 03:36:44.077,11.286514897686109,-1.9393126899745146,-0.6451462536352395,2.043807084358935,2258
2015-12-03 03:40:24.130,11.315456857407158,-1.9085570182552163,-0.6460144119978963,2.0149254359504796,2259
2015-12-03 04:18:24.164,11.557985098760767,-1.613256497193602,-0.6614878786869287,1.743606245511613,2260
2015-12-03 04:50:44.143,11.717541756195281,-1.3611637214335524,-0.6863070676890634,1.5243962961470348,2261
2015-12-03 05:18:54.218,11.82593665473657,-1.1348988607531605,-0.718637388528073,1.3432926413590116,2262
2015-12-03 05:19:54.219,11.829168914902018,-1.1269381707301178,-0.7199531268317373,1.337281625344243,2263
2015-12-03 05:33:24.081,11.869035953020566,-1.019359234454127,-0.7389271318105662,1.2590101488839134,2264
2015-12-03 05:43:44.190,11.894055025354481,-0.9395598946007464,-0.7544319334999416,1.2049648699553968,2265
2015-12-03 06:46:44.098,11.96392815054547,-0.43573036437405255,-0.8790529070528743,0.9811192403758342,2266
2015-12-03 06:53:04.203,11.962542786417565,-0.3837065853128445,-0.8943264982084935,0.9731652629488527,2267
2015-12-03 06:54:24.155,11.961994858694977,-0.3717009107917506,-0.8979079648677786,0.971802593357526,2268
2015-12-03 09:39:54.156,11.36753809666884,0.9556560850090953,-1.3599240795701144,1.662128772090037,2269
2015-12-03 09:45:04.211,11.332636196994695,0.9959595689020878,-1.373678902305965,1.6967407549558517,2270
