DateStart,Error
2016-02-06 19:48:08+00:00,local variable 'ind_range_msh' referenced before assignment
2016-02-07 04:01:02+00:00,v cannot be empty
2016-02-07 04:06:57+00:00,v cannot be empty
2016-02-13 22:10:38+00:00,local variable 'ind_range_msh' referenced before assignment
2016-02-14 23:00:56+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-14 23:02:30+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-15 19:50:17+00:00,x and y arrays must have at least 2 entries
2016-02-15 19:54:02+00:00,x and y arrays must have at least 2 entries
2016-02-17 04:26:01+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-17 04:33:08+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-17 04:34:56+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-19 23:20:15+00:00,attempt to get argmin of an empty sequence
2016-02-20 01:29:29+00:00,attempt to get argmin of an empty sequence
2016-02-21 20:18:56+00:00,attempt to get argmin of an empty sequence
2016-02-24 03:27:22+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-24 21:25:15+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-24 21:26:32+00:00,local variable 'ind_range_msp' referenced before assignment
2016-02-25 18:03:26+00:00,x and y arrays must have at least 2 entries
2016-02-27 19:48:25+00:00,local variable 'ind_range_msh' referenced before assignment
2016-02-27 22:05:31+00:00,attempt to get argmin of an empty sequence
2016-03-01 23:53:24+00:00,local variable 'ind_range_msp' referenced before assignment
2016-09-28 14:51:42+00:00,local variable 'ind_range_msh' referenced before assignment
2016-09-28 19:35:35+00:00,x and y arrays must have at least 2 entries
2016-10-03 16:17:53+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-03 16:19:00+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-12 15:09:26+00:00,attempt to get argmin of an empty sequence
2016-10-13 11:22:10+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-13 11:31:01+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-13 11:44:00+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-15 13:51:57+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-16 11:30:42+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-16 12:25:58+00:00,local variable 'ind_range_msh' referenced before assignment
2016-10-16 12:29:48+00:00,attempt to get argmin of an empty sequence
2016-10-16 12:35:07+00:00,attempt to get argmin of an empty sequence
2016-10-16 18:05:57+00:00,v cannot be empty
2016-10-16 18:07:41+00:00,v cannot be empty
